Nom,Naissance,Taille,Poids,Nationalité,Latéralité
Iván Sánchez,9/23/1992,175.26,64,Spain,Left
Moon Seon Min,6/9/1992,172.72,68,Korea Republic,Right
A. Trajkovski,9/5/1992,154.94,78,FYR Macedonia,Right
B. Myhill,11/9/1982,190.5,92.1,Wales,Right
I. Dia,6/8/1987,172.72,69.9,Senegal,Right
Saúl,11/9/1994,182.88,71.2,Spain,Left
M. Zimmermann,6/16/1992,152.4,76.2,Germany,Right
F. Bellugou,4/25/1987,187.96,74.8,France,Right
C. Gardner,11/25/1986,175.26,81.2,England,Right
M. Mancienne,1/8/1988,185.42,86.2,England,Right
Kim Seung Dae,4/1/1991,175.26,64,Korea Republic,Right
Lionn,1/29/1989,185.42,76.2,Brazil,Right
Jefferson Santos,4/14/1993,193.04,84.8,Brazil,Right
F. Deli,7/17/1994,182.88,77.1,Italy,Left
C. Dunkley,2/13/1992,187.96,84.8,England,Right
A. Kara,3/23/1993,185.42,83.9,Turkey,Right
C. Vilches,7/13/1983,182.88,78,Chile,Right
N. Brighenti,8/1/1989,152.4,74.8,Italy,Right
A. Uchida,3/27/1988,175.26,69.9,Japan,Right
Y. Kalfa,5/14/1993,175.26,73,Syria,Right
J. Mosquera,5/8/1990,185.42,78,Colombia,Left
M. Eriksson,4/8/1990,152.4,82.1,Sweden,Left
J. Worrall,1/10/1997,190.5,89.8,England,Right
Rubén,6/22/1984,187.96,81.2,Spain,Right
H. Vaca,1/20/1998,167.64,59.9,Bolivia,Left
Rodrigo Pinho,5/30/1991,185.42,78.9,Brazil,Left
G. Celis,5/8/1993,152.4,73,Colombia,Right
R. Leeuwin,9/1/1987,187.96,76.2,Netherlands,Right
P. Schobesberger,12/10/1993,175.26,64,Austria,Right
J. Swift,6/23/1995,182.88,73,England,Right
L. Thy,2/25/1992,182.88,78,Germany,Right
K. Rosenberry,12/11/1993,172.72,73,United States,Right
R. Aarons,11/16/1995,152.4,76.2,England,Left
Alfonso Herrero,4/21/1994,182.88,83,Spain,Right
G. Alcoba,11/25/1984,182.88,83,Uruguay,Right
L. Baker,4/25/1995,182.88,72.1,England,Right
P. Wszołek,4/30/1992,185.42,77.1,Poland,Right
J. McEachran,3/1/1993,152.4,64.9,England,Left
A. Bjelica,1/7/1994,182.88,81.2,Serbia,Left
J. Pearce,12/6/1987,185.42,71.2,England,Left
B. Cortés,5/29/1995,185.42,78.9,Chile,Right
R. Wolski,11/10/1992,154.94,69.9,Poland,Right
Juan Muñoz,11/12/1995,187.96,78,Spain,Right
E. Rolón,3/25/1995,152.4,73.9,Argentina,Right
J. Berthomier,1/6/1990,152.4,73.9,France,Left
J. Angulo,8/26/1988,154.94,72.1,Colombia,Right
G. Pegolo,3/25/1981,182.88,76.2,Italy,Left
Ansel Barnisco,2/29/1988,182.88,82.1,Brazil,Right
H. Quiñones,3/17/1992,152.4,69.9,Colombia,Left
Nono,5/28/1991,170.18,63,Spain,Right
Miguel Luís,2/27/1999,152.4,73,Portugal,Right
J. Busk,9/12/1993,187.96,78,Denmark,Right
A. Stevanovic,1/7/1991,154.94,73.9,Serbia,Right
C. Oliva,6/1/1996,152.4,77.1,Uruguay,Right
D. Zuma,5/22/1995,170.18,72.1,South Africa,Right
O. Okwonkwo,1/19/1998,154.94,72.1,Nigeria,Right
C. Auzqui,3/16/1991,154.94,73.9,Argentina,Right
L. Faravelli,3/29/1993,152.4,73,Argentina,Left
J. Souttar,9/25/1996,187.96,74.8,Scotland,Right
Bruno Nascimento,5/30/1991,187.96,82.1,Brazil,Right
K. Laribi,4/20/1991,175.26,67.1,Tunisia,Right
J. Guerrero,11/18/1987,175.26,71.2,Mexico,Right
R. Dwamena,9/12/1995,185.42,81.2,Ghana,Left
B. Tekpetey,9/3/1997,172.72,68.9,Ghana,Right
D. Hoesen,1/15/1991,185.42,81.2,Netherlands,Right
T. Necid,8/13/1989,190.5,83.9,Czech Republic,Right
M. Bero,9/6/1995,154.94,81.2,Slovakia,Right
Allan Ardaújo,2/29/1988,152.4,74.8,Brazil,Right
B. Schenkeveld,8/28/1991,185.42,83,Netherlands,Right
J. Kirchhoff,10/1/1990,195.58,89.8,Germany,Right
Aridane,3/23/1989,185.42,77.1,Spain,Right
M. Volta,5/14/1987,182.88,78,Italy,Right
E. Seka,6/22/1987,185.42,83.9,Guinea,Right
Y. Kobayashi,4/24/1992,182.88,72.1,Japan,Left
N. Fernández,4/13/1979,195.58,84.8,Argentina,Right
D. Jevtić,2/8/1993,182.88,74.8,Switzerland,Left
D. Antolić,6/30/1990,154.94,73,Croatia,Right
D. Opare,10/18/1990,175.26,73.9,Ghana,Right
J. Makengo,6/12/1998,152.4,74.8,France,Left
N. Leyes,9/5/1989,154.94,78,Argentina,Right
D. Fletcher,2/1/1984,182.88,83,Scotland,Right
D. Keet,8/5/1989,182.88,77.1,South Africa,Left
V. Sarı,7/25/1988,182.88,76.2,Turkey,Right
A. Elmohamady,9/9/1987,182.88,78,Egypt,Right
A. Ábalos,3/17/1986,165.1,67.1,Argentina,Right
R. Ziegler,1/16/1986,182.88,79.8,Switzerland,Left
David Fernández,4/6/1985,185.42,81.2,Spain,Right
Akapo,3/12/1993,152.4,76.2,Equatorial Guinea,Right
C. Ascues,6/19/1992,187.96,78,Peru,Right
M. Barrow,10/13/1992,175.26,63,Gambia,Left
M. Falzerano,4/12/1991,167.64,68,Italy,Right
F. González,1/6/1987,152.4,78,Argentina,Right
W. Faes,4/3/1998,185.42,81.2,Belgium,Right
S. Kerk,4/17/1994,182.88,76.2,Germany,Left
F. Tabanou,1/30/1989,152.4,77.1,France,Left
M. Yattara,7/28/1993,185.42,78.9,Guinea,Right
A. Dona Ndoh,5/22/1986,185.42,79.8,Cameroon,Right
L. Trałka,5/11/1984,185.42,77.1,Poland,Right
D. Appiah,6/9/1992,175.26,77.1,France,Right
Manu Vallejo,2/14/1997,167.64,62.1,Spain,Right
Gerard Valentín,7/28/1993,175.26,73.9,Spain,Right
E. Rakip,2/13/1996,152.4,73,Sweden,Right
M. Liendl,10/25/1985,175.26,73.9,Austria,Left
J. Sánchez,12/10/1997,175.26,71.2,Mexico,Right
P. Pentke,5/1/1985,190.5,84.8,Germany,Right
A. Lukimya,1/25/1986,190.5,88.9,DR Congo,Right
F. Platte,2/11/1996,190.5,86.2,Germany,Right
N. Aguirre,7/27/1990,154.94,78,Argentina,Left
G. Mackay-Steven,8/31/1990,172.72,69.9,Scotland,Left
D. González,7/20/1982,193.04,83.9,Colombia,Right
D. Cabrera,9/7/1989,154.94,76.2,Mexico,Left
Lee Keun Ho,4/11/1985,175.26,73.9,Korea Republic,Left
C. Ramirez,4/4/1991,187.96,84.8,United States,Right
J. Lefort,8/9/1993,182.88,83,France,Left
H. Nielsen,7/15/1993,187.96,79.8,Norway,Right
M. Lehmann,5/28/1983,152.4,74.8,Germany,Right
A. Balzano,6/13/1986,175.26,73.9,Italy,Right
T. Kristensen,4/17/1983,187.96,78.9,Denmark,Right
F. Álvarez,1/23/1993,182.88,69.9,Argentina,Right
J. Bokila,11/14/1988,187.96,81.2,DR Congo,Left
Carlos Gutiérrez,11/4/1991,193.04,82.1,Spain,Right
S. Vergini,8/3/1988,190.5,83,Argentina,Right
E. Falkenburg,5/5/1988,187.96,83.9,Netherlands,Right
Y. Kakitani,1/3/1990,152.4,68,Japan,Right
S. Popov,8/31/1990,185.42,77.1,Bulgaria,Right
E. Blanco,9/5/1989,152.4,78.9,Colombia,Right
S. Ameobi,5/1/1992,193.04,78,England,Left
P. Anton,5/10/1991,182.88,82.1,Romania,Right
A. Malarz,6/19/1980,187.96,86.2,Poland,Right
Jairo Farnias,2/29/1988,152.4,76.2,Brazil,Left
Lourival Dinisco,2/29/1988,187.96,84.8,Brazil,Right
M. Kelemen,12/7/1979,187.96,83.9,Slovakia,Left
M. Saito,4/4/1990,170.18,68,Japan,Right
O. Kemen,7/20/1996,152.4,78,France,Right
F. Schnellhardt,1/12/1994,154.94,74.8,Germany,Left
Kim Bo Kyung,10/6/1989,152.4,73,Korea Republic,Left
V. Kadlec,5/20/1992,154.94,76.2,Czech Republic,Right
João Lucas,1/15/1996,154.94,66.2,Portugal,Left
J. Williams,12/8/1996,185.42,68,England,Right
C. Higuita,1/12/1994,175.26,79.8,Colombia,Right
V. Angulo,8/1/1988,185.42,78,Ecuador,Right
M. Sampirisi,10/31/1992,187.96,74.8,Italy,Right
B. Leroy,4/7/1989,182.88,73.9,France,Right
I. Hagi,10/22/1998,154.94,69.9,Romania,Right
G. Þórarinsson,4/15/1992,182.88,74.8,Iceland,Left
Luiz Antônio,3/11/1991,182.88,77.1,Brazil,Right
F. Ogier,3/21/1989,182.88,73,France,Right
B. Parker,3/16/1986,170.18,64.9,South Africa,Left
A. Canelo,2/3/1992,154.94,83,Argentina,Left
U. Hünemeier,1/9/1986,187.96,84.8,Germany,Right
L. Figueroa,5/14/1983,152.4,77.1,Chile,Right
F. Bradarić,1/11/1992,185.42,77.1,Croatia,Right
D. Geiger,6/10/1998,172.72,64.9,Germany,Right
Han Chan Hee,3/17/1997,154.94,72.1,Korea Republic,Right
Luís Machado,11/4/1992,167.64,62.1,Portugal,Right
Ewandro,3/15/1996,175.26,67.1,Brazil,Left
V. Ibarbo,5/19/1990,187.96,78.9,Colombia,Right
B. Corgnet,4/6/1987,152.4,73,France,Right
Lombán,6/5/1987,185.42,78.9,Spain,Right
R. Riou,8/6/1987,187.96,81.2,France,Right
D. Batallini,6/24/1996,175.26,73.9,Argentina,Left
Barbosaldinho,2/29/1988,185.42,82.1,Brazil,Right
J. Valenzuela,5/15/1984,152.4,77.1,Mexico,Right
F. Torijano,8/31/1988,182.88,73,Colombia,Right
H. Lansbury,10/12/1990,185.42,84.8,England,Right
F. Bandinelli,3/29/1995,154.94,73.9,Italy,Left
D. Ousted,2/1/1985,193.04,88,Denmark,Right
D. John,6/30/1995,152.4,74.8,Wales,Left
A. González,9/13/1992,152.4,74.8,Venezuela,Right
F. Veseli,11/20/1992,182.88,79.8,Albania,Right
D. de Buen,7/3/1991,182.88,78.9,Mexico,Right
D. Solanke,9/14/1997,187.96,79.8,England,Right
K. Çörekçi,2/1/1992,172.72,73.9,Turkey,Right
P. Šteinbors,9/21/1985,190.5,81.2,Latvia,Right
Jony Reitosa,2/29/1992,175.26,73.9,Brazil,Right
J. Cabezas,2/27/1991,182.88,78.9,Colombia,Right
J. Hochscheidt,10/4/1987,154.94,83.9,Germany,Right
G. Hendrickx,3/30/1995,175.26,68.9,Belgium,Right
Cao Yunding,11/22/1989,172.72,69.9,China PR,Right
I. Cofie,9/20/1991,182.88,74.8,Ghana,Right
B. Róchez,1/1/1995,182.88,81.2,Honduras,Right
R. Zentner,10/28/1994,193.04,96.2,Germany,Right
R. James,12/8/1999,154.94,82.1,England,Right
R. Beerens,12/22/1987,172.72,63,Netherlands,Right
Eduardo Fonseira,2/29/1988,190.5,87.1,Brazil,Right
O. Govea,1/18/1996,175.26,68,Mexico,Right
Cristian López,4/27/1989,185.42,79.8,Spain,Right
M. Männel,3/16/1988,182.88,79.8,Germany,Right
M. Rygaard,12/25/1990,152.4,73,Denmark,Left
G. Hanley,11/20/1991,187.96,81.2,Scotland,Right
J. Lynch,10/3/1987,185.42,81.2,Wales,Left
S. Colombi,7/1/1991,187.96,83,Italy,Right
P. Ševčík,5/4/1994,172.72,66.2,Czech Republic,Right
Marco Rocha,1/12/1987,182.88,83,Portugal,Right
Nathael Silbeira,2/29/1984,187.96,83,Brazil,Right
A. Maitland-Niles,8/29/1997,152.4,71.2,England,Right
U. Đurđević,3/2/1994,182.88,82.1,Serbia,Right
Y. Candelo,2/24/1992,170.18,68,Colombia,Right
M. Rodriguez,10/2/1990,154.94,68,Uruguay,Left
David Simón,12/31/1989,175.26,68,Spain,Right
A. Federici,1/31/1985,187.96,89.8,Australia,Right
A. Ghazal,2/1/1992,187.96,83.9,Egypt,Right
Felipe,8/7/1987,187.96,83.9,Brazil,Right
G. Acosta,10/30/1988,167.64,73,Argentina,Right
A. Lusamba,1/4/1997,152.4,73.9,France,Right
P. Terracciano,3/8/1990,193.04,78,Italy,Right
L. Krajnc,9/19/1994,187.96,86.2,Slovenia,Left
T. Hemed,5/2/1987,185.42,79.8,Israel,Right
E. Conde,3/4/1983,187.96,84.8,Uruguay,Right
J. Bolingi,6/30/1994,187.96,69.9,DR Congo,Right
Heitinho Zanon,2/29/1984,187.96,78.9,Brazil,Left
V. Ayala,1/1/1988,152.4,69.9,Paraguay,Right
A. Ienaga,6/13/1986,172.72,69.9,Japan,Left
Arsénio,8/30/1989,154.94,73,Portugal,Right
Patrick,1/22/1991,172.72,76.2,Brazil,Right
L. Cavanda,1/2/1991,154.94,76.2,Belgium,Right
M. Peybernès,10/21/1990,187.96,77.1,France,Right
Deivid,1/27/1989,187.96,74.8,Spain,Right
K. Zohore,1/31/1994,193.04,96.2,Denmark,Left
D. Lekić,6/7/1985,193.04,88,Serbia,Right
R. Sawyers,11/2/1991,185.42,67.1,St Kitts Nevis,Right
Pombaxinho,2/29/1984,190.5,89.8,Brazil,Right
R. Nouri,6/7/1985,152.4,73,France,Right
J. Isijara,9/6/1989,154.94,76.2,Mexico,Right
J. Callsen-Bracker,9/23/1984,187.96,83.9,Germany,Right
R. Faty,8/4/1986,193.04,82.1,Senegal,Right
A. Saelemaekers,6/27/1999,175.26,66.2,Belgium,Right
L. Mühl,1/27/1997,187.96,83,Germany,Right
Z. Kalmár,6/9/1995,185.42,78,Hungary,Right
Mano,4/9/1987,170.18,67.1,Portugal,Right
E. Calaió,1/8/1982,152.4,74.8,Italy,Left
A. Wilkinson,8/13/1984,187.96,84.8,Australia,Right
K. Sugimoto,11/18/1992,187.96,78.9,Japan,Right
C. Martina,9/25/1989,185.42,77.1,Curacao,Right
V. Angban,9/29/1996,154.94,74.8,Ivory Coast,Right
E. Remedi,6/4/1995,170.18,72.1,Argentina,Right
V. Figueroa,9/29/1983,167.64,63,Argentina,Right
C. O'Dowda,4/23/1995,154.94,74.8,Republic of Ireland,Left
Arroyo,7/22/1988,154.94,76.2,Spain,Right
A. Ríos,8/1/1989,152.4,78,Argentina,Right
M. Jevtovic,7/24/1993,193.04,82.1,Serbia,Right
S. Limbombe,3/26/1991,167.64,73.9,Belgium,Right
I. Doumbia,4/14/1998,187.96,82.1,Ivory Coast,Right
David Raya,9/15/1995,182.88,74.8,Spain,Right
O. Çek,1/3/1991,172.72,69.9,Turkey,Left
Y. Shakhov,11/30/1990,187.96,82.1,Ukraine,Right
S. Doukara,9/29/1991,185.42,84.8,France,Right
B. Rabello,5/16/1994,167.64,69.9,Chile,Right
Ivo Pinto,1/7/1990,182.88,69.9,Portugal,Right
Tomeu Nadal,2/8/1989,187.96,82.1,Spain,Right
K. Rüegg,8/5/1998,172.72,77.1,Switzerland,Right
L. Singh,8/5/1997,170.18,59.9,South Africa,Right
R. Baca,9/11/1989,170.18,64.9,Mexico,Right
A. Weimann,8/5/1991,152.4,76.2,Austria,Right
M. Martin,1/10/1988,170.18,68,France,Right
M. Samudio,8/24/1986,172.72,79.8,Paraguay,Left
Nacho Vidal,1/24/1995,154.94,73,Spain,Right
S. Davis,2/8/1993,182.88,74.8,United States,Right
N. Rimando,6/17/1979,152.4,83,United States,Right
Tito,7/11/1985,175.26,64,Spain,Right
R. Köse,5/12/1988,193.04,88.9,Turkey,Right
Zhang Linpeng,5/9/1989,185.42,78,China PR,Right
L. Stulac,9/26/1994,175.26,69.9,Slovenia,Right
Tony Muttinho,2/29/1984,182.88,79.8,Brazil,Right
Diogo Gonçalves,2/6/1997,152.4,71.2,Portugal,Right
I. Provedel,3/17/1994,193.04,83.9,Italy,Right
A. Tinnerholm,2/26/1991,175.26,74.8,Sweden,Right
Choi Chul Soon,2/8/1987,175.26,69.9,Korea Republic,Right
Ângelo Neto,9/2/1991,154.94,74.8,Brazil,Right
C. Quintana,2/10/1988,190.5,83.9,Argentina,Left
J. Dezi,2/10/1992,152.4,68.9,Italy,Right
M. van Buren,8/24/1992,182.88,73,Netherlands,Right
N. Foor,2/4/1992,170.18,60.8,Netherlands,Left
Adriano,9/28/1987,170.18,64,Brazil,Right
J. Beauguel,3/21/1992,195.58,84.8,France,Left
L. Antei,4/19/1992,187.96,77.1,Italy,Right
E. Adu,9/14/1990,152.4,67.1,Ghana,Right
R. Lod,4/17/1993,154.94,76.2,Finland,Left
Kang Hyeon Mu,3/13/1995,185.42,78,Korea Republic,Right
M. Eikrem,8/8/1990,182.88,68.9,Norway,Right
A. Godoy,2/10/1990,182.88,74.8,Panama,Left
S. Hernández,10/2/1986,152.4,73.9,Colombia,Right
Tramontinaldo,2/29/1984,175.26,71.2,Brazil,Right
A. Milić,3/10/1994,187.96,84.8,Croatia,Left
B. Acosta,12/19/1986,182.88,92.1,Costa Rica,Right
A. Gomaa,1/16/1988,152.4,73.9,Egypt,Right
Ukra,3/16/1988,175.26,73.9,Portugal,Right
Z. Machach,1/5/1996,182.88,77.1,France,Right
D. Sallói,7/19/1996,185.42,68,Hungary,Right
J. Laso,7/4/1990,187.96,74.8,Argentina,Right
B. Kuscevic,5/2/1996,185.42,79.8,Chile,Right
Rúben Ferreira,2/17/1990,182.88,67.1,Portugal,Left
Danilo Silva,11/24/1986,185.42,69.9,Brazil,Right
P. Mwene,1/29/1994,172.72,68,Austria,Right
L. Pernica,6/16/1990,187.96,86.2,Czech Republic,Right
A. King,10/29/1988,182.88,78.9,Wales,Right
S. Lammers,4/30/1997,187.96,77.1,Netherlands,Left
K. Peterson,11/28/1994,185.42,78.9,Sweden,Right
D. Marshall,3/5/1985,190.5,83,Scotland,Right
P. Ebert,3/17/1987,175.26,78,Germany,Right
H. Veerman,2/26/1991,200.66,89.8,Netherlands,Right
Rui Silva,2/7/1994,190.5,91.2,Portugal,Right
M. Grüttner,10/17/1985,185.42,83.9,Germany,Right
Adryan,8/10/1994,175.26,69.9,Brazil,Right
M. Petržela,6/19/1983,172.72,64.9,Czech Republic,Right
E. Şen,1/5/1989,154.94,74.8,Belgium,Right
F. Boeckx,9/27/1986,154.94,79.8,Belgium,Right
D. Maroh,3/4/1987,185.42,84.8,Slovenia,Right
Nauzet,3/1/1985,190.5,87.1,Spain,Right
T. Clarke,12/21/1987,154.94,77.1,England,Right
Botía,1/27/1989,187.96,96.2,Spain,Right
S. Tonali,5/8/2000,154.94,78.9,Italy,Right
David Costas,3/26/1995,182.88,72.1,Spain,Right
K. Boli,6/21/1991,182.88,76.2,France,Right
C. Avevor,2/11/1992,185.42,88,Germany,Right
H. Wahl,4/15/1994,187.96,84.8,Germany,Right
J. De Sart,12/23/1994,185.42,73,Belgium,Right
O. Şişmanoğlu,8/1/1989,185.42,83,Germany,Right
J. Léa Siliki,6/12/1996,182.88,69.9,France,Left
A. Calabresi,3/17/1996,185.42,74.8,Italy,Right
R. López,2/23/1993,185.42,73.9,Mexico,Right
J. Vigón,7/20/1991,175.26,71.2,Mexico,Right
P. Bamford,9/5/1993,185.42,71.2,England,Left
B. Özcan,2/15/1998,154.94,78.9,Turkey,Right
João Amaral,9/7/1991,172.72,64.9,Portugal,Left
Luisinho Conradi,2/29/1988,175.26,78,Brazil,Left
J. Walters,9/20/1983,182.88,78.9,Republic of Ireland,Right
Dorado,7/10/1982,154.94,69.9,Spain,Left
C. Adjapong,5/6/1998,154.94,73.9,Italy,Right
Alex Alegría,10/10/1992,187.96,82.1,Spain,Right
Rúben Fernandes,5/6/1986,185.42,78,Portugal,Left
T. Mings,3/13/1993,195.58,77.1,England,Left
O. Coulibaly,7/9/1989,182.88,74.8,Mali,Right
C. Ramírez,5/1/1988,182.88,81.2,Colombia,Left
P. Faragò,2/12/1993,187.96,79.8,Italy,Right
D. Lezcano,6/30/1990,152.4,78.9,Paraguay,Right
D. Gastaldello,6/25/1983,185.42,77.1,Italy,Right
M. Beevers,11/21/1989,193.04,79.8,England,Left
T. Kessler,1/20/1986,198.12,92.1,Germany,Right
M. Rohdén,5/11/1991,182.88,76.2,Sweden,Right
Salvador Agra,11/11/1991,165.1,60.8,Portugal,Right
E. Bello,8/20/1995,152.4,72.1,Venezuela,Right
Manu Morlanes,1/12/1999,152.4,74.8,Spain,Right
Evandro,8/23/1986,152.4,72.1,Brazil,Right
J. Elías,4/25/1996,154.94,68.9,Argentina,Right
Wagner Orsinho,2/29/1988,175.26,68.9,Brazil,Left
J. Osorio,6/12/1992,175.26,73,Canada,Right
A. Domínguez,6/5/1987,195.58,83.9,Ecuador,Right
M. Büchel,3/18/1991,175.26,71.2,Liechtenstein,Left
J. McLaughlin,9/3/1988,187.96,83,Scotland,Right
Javi Moyano,2/23/1986,154.94,73,Spain,Right
Y. Barbet,5/10/1993,187.96,81.2,France,Left
L. Sadiku,7/28/1991,185.42,69.9,Kosovo,Right
Fabrício Baiano,6/13/1992,152.4,74.8,Brazil,Right
S. McTominay,12/8/1996,193.04,88,Scotland,Right
M. Pugh,4/2/1987,154.94,72.1,England,Right
E. Alioski,2/12/1992,172.72,63,FYR Macedonia,Left
Fredy,3/27/1990,170.18,68,Angola,Right
E. Zelazny,9/22/1991,185.42,79.8,France,Left
J. Dilrosun,6/22/1998,175.26,67.1,Netherlands,Left
B. Leal,11/22/1981,172.72,64,Chile,Right
I. Latovlevici,5/11/1986,175.26,73.9,Romania,Left
A. Yiadom,12/2/1991,154.94,74.8,Ghana,Right
A. El Said,7/13/1985,175.26,74.8,Egypt,Right
Son Jun Ho,5/12/1992,152.4,62.1,Korea Republic,Right
A. Voglsammer,1/9/1992,152.4,81.2,Germany,Right
M. Pazdan,9/21/1987,154.94,78,Poland,Right
A. Bouchalakis,4/5/1993,187.96,83.9,Greece,Left
J. Irvine,3/7/1993,187.96,69.9,Australia,Right
O. Bayram,7/27/1991,172.72,73,Turkey,Left
A. Turan,9/6/1983,185.42,81.2,Turkey,Right
D. Mosquera,6/23/1992,182.88,72.1,Colombia,Left
F. Jozefzoon,2/9/1991,175.26,72.1,Netherlands,Right
J. Tagueu,12/6/1993,152.4,78,Cameroon,Left
M. Colin,11/15/1991,154.94,76.2,France,Right
André Milazisco,2/29/1984,187.96,84.8,Brazil,Left
M. Tosetti,2/15/1992,175.26,68,Switzerland,Right
João Victor,3/27/1994,152.4,72.1,Brazil,Left
F. Campos,11/8/1993,152.4,78.9,Chile,Right
S. Ben Youssef,3/31/1989,187.96,82.1,Tunisia,Right
E. Taşdemir,8/8/1995,175.26,69.9,Turkey,Left
C. Akpom,10/9/1995,185.42,81.2,England,Right
P. Frankowski,4/12/1995,172.72,69.9,Poland,Right
T. Dingomé,2/17/1991,175.26,71.2,France,Left
Paco Montañés,10/8/1986,172.72,73,Spain,Right
H. Dalsgaard,7/27/1989,193.04,81.2,Denmark,Right
T. Matlaba,12/13/1987,170.18,74.8,South Africa,Right
D. Foulquier,3/23/1993,182.88,78,France,Right
S. Padoin,3/18/1984,152.4,73,Italy,Right
D. Contento,5/1/1990,152.4,74.8,Germany,Left
T. Oar,12/10/1991,172.72,66.2,Australia,Left
Bueno,3/20/1988,152.4,67.1,Spain,Right
G. Anestis,3/9/1991,198.12,93,Greece,Right
J. Boga,1/3/1997,175.26,72.1,Ivory Coast,Right
Fede,3/16/1997,175.26,68,Spain,Right
S. Klaiber,7/31/1994,182.88,76.2,Netherlands,Right
S. Adamyan,5/23/1993,182.88,77.1,Armenia,Right
Y. Erdoğan,8/7/1992,170.18,68,Turkey,Left
Gumbau,12/18/1994,187.96,77.1,Spain,Left
L. Wakalible,12/31/1990,182.88,74.8,Ivory Coast,Right
Antoñito,12/24/1987,175.26,64,Spain,Right
P. Onuachu,5/28/1994,200.66,83.9,Nigeria,Right
K. Kronholm,10/14/1985,187.96,83,United States,Right
P. Oniangué,11/4/1988,190.5,78,Congo,Right
M. Domizzi,6/28/1980,185.42,79.8,Italy,Left
B. Sako,4/26/1988,182.88,89.8,Mali,Left
Hélder Barbosa,5/25/1987,172.72,67.1,Portugal,Left
Túlio Sandoiro,2/29/1984,185.42,82.1,Brazil,Right
J. Reine-Adélaïde,1/17/1998,182.88,74.8,France,Right
N. Gyömbér,7/3/1992,187.96,73.9,Slovakia,Right
R. Insigne,5/11/1994,172.72,64.9,Italy,Left
M. Gobbi,10/31/1980,182.88,76.2,Italy,Left
M. Diskerud,10/2/1990,182.88,68,United States,Right
S. Chukwueze,5/22/1999,172.72,69.9,Nigeria,Left
T. Elphick,9/7/1987,187.96,84.8,England,Right
F. Maouassa,7/6/1998,170.18,73,France,Left
Alejandro Rodríguez,7/30/1991,182.88,79.8,Spain,Right
O. Jiménez,10/12/1988,182.88,79.8,Mexico,Right
L. Vibe,2/22/1987,154.94,73,Denmark,Right
M. Waghorn,1/23/1990,152.4,83,England,Left
B. Wright,7/28/1992,182.88,78.9,Australia,Right
Diogo Viana,2/22/1990,175.26,67.1,Portugal,Right
M. Olsson,5/17/1988,152.4,81.2,Sweden,Left
W. Dutoit,9/18/1988,154.94,76.2,France,Right
K. McLean,1/8/1992,182.88,69.9,Scotland,Left
P. Köpke,9/3/1995,152.4,74.8,Germany,Right
J. Colback,10/24/1989,152.4,77.1,England,Left
V. Regini,9/9/1990,185.42,78.9,Italy,Left
Álex Martínez,8/12/1990,175.26,67.1,Spain,Left
N. Mendez-Laing,4/15/1992,154.94,74.8,England,Right
B. Marshall,3/29/1991,154.94,83,England,Right
M. Gazzola,4/3/1985,182.88,78,Italy,Right
B. Samudio,12/23/1995,154.94,78.9,Paraguay,Right
Eltildo Bessa,2/29/1984,165.1,62.1,Brazil,Left
O. Omoijuanfo,1/10/1994,187.96,74.8,Norway,Right
G. Tzavellas,11/26/1987,182.88,86.2,Greece,Left
T. Chevalier,6/28/1987,152.4,79.8,France,Right
S. Jung,6/22/1990,152.4,72.1,Germany,Right
Jesús Imaz,9/26/1990,175.26,69.9,Spain,Right
S. Ubilla,8/9/1990,172.72,68,Chile,Right
Jota,3/7/1993,170.18,69.9,Portugal,Right
Dani Castellano,11/2/1987,154.94,69.9,Spain,Left
Vinícius,3/22/1995,190.5,83,Brazil,Left
L. Clarke,2/10/1985,187.96,88.9,England,Right
Edgar Costa,4/14/1987,152.4,78,Portugal,Right
O. Petrák,3/11/1992,185.42,78.9,Czech Republic,Right
V. Nelsson,10/14/1998,185.42,78,Denmark,Right
Artur,3/11/1996,154.94,69.9,Brazil,Right
Rafael Lopes,7/28/1991,185.42,78.9,Portugal,Right
F. Jensen,9/9/1997,182.88,79.8,Finland,Right
R. van Drongelen,12/20/1998,185.42,81.2,Netherlands,Left
P. Ledesma,2/4/1984,152.4,78.9,Argentina,Right
F. Cerro,2/9/1988,152.4,74.8,Argentina,Right
M. Kosanović,5/28/1990,190.5,84.8,Serbia,Left
I. Lichnovsky,3/7/1994,187.96,78.9,Chile,Right
Fernando Andrade,1/8/1993,182.88,76.2,Brazil,Right
L. Ramos,8/21/1989,185.42,83,Argentina,Right
D. Rojas,2/15/1995,165.1,52.2,Chile,Left
S. Burchert,10/30/1989,187.96,78,Germany,Right
O. Alanís,3/18/1989,185.42,74.8,Mexico,Left
B. Angulo,11/30/1995,182.88,69.9,Ecuador,Right
G. Trauner,3/25/1992,182.88,82.1,Austria,Right
Martin Cordeia,2/29/1984,154.94,76.2,Brazil,Right
Saberto Botelho,2/29/1988,182.88,77.1,Brazil,Right
Emerson Avintes,2/29/1992,152.4,71.2,Brazil,Right
R. Rojas,4/30/1996,175.26,74.8,Paraguay,Right
W. González,6/21/1995,185.42,78.9,Paraguay,Right
F. Mussis,4/19/1992,175.26,74.8,Argentina,Right
M. Dal Hende,11/6/1990,152.4,74.8,Denmark,Left
E. Perlaza,3/7/1989,172.72,72.1,Colombia,Right
A. Nukan,7/20/1993,195.58,86.2,Turkey,Left
